UCHASTOK	IZBIR	DEJSTV	NEDEJSTV	KAND_1	KAND_2	KAND_3
1	329786	2623	198354	24565	11786	142627
2	144483	859	97863	7884	6364	68573
3	709903	5656	664195	30491	11152	599105
4	696114	4392	619629	54999	11519	525814
5	717095	3837	653133	36880	10002	559653
6	787593	4715	655486	72166	25204	485669
7	696087	10456	397797	43559	28189	267776
8	691688	1819	632045	53046	5504	563502
9	730050	2403	667994	60355	2680	599798
10	164275	89	161470	234	451	159496
11	518183	488	500516	8601	2030	481583
12	207075	1129	137178	16205	4660	100170
13	305428	575	281771	10330	5353	262308
14	563904	3170	306413	33293	32121	177322
15	756971	6047	486843	46983	56279	305906
16	541761	4258	421197	45046	31992	287333
17	658087	3087	618759	23212	5935	580894
18	612999	4391	426705	40873	27003	275856
19	474215	7509	277598	31033	8017	204132
20	675760	4814	589883	27819	20692	505985
21	717786	3994	604802	49538	19660	484949
22	728530	6470	647099	52553	16767	533930
23	695769	4585	544672	31616	36232	425975
24	163958	1414	131141	3969	2764	118255
25	1221688	11800	736552	79411	82109	453248
26	395844	2068	215158	27984	24582	129321
27	580918	555	577249	768	357	574101
28	973296	9830	677736	86904	58354	428160
29	673404	4193	402008	66848	46819	207618
30	661203	3917	393773	68590	40932	222695
31	667472	3860	411806	70374	39504	236628
32	735945	8789	490168	69547	36864	321526
33	754594	8576	450644	80204	39225	260976
34	802747	9608	518227	79951	38701	326410
35	777132	8943	473465	55800	41791	304365
36	719043	9176	475033	68439	39925	308728
37	696892	5299	436877	59724	48144	269586
38	728766	5100	380280	48871	36928	221921
39	700553	5357	433019	52404	48672	276592
40	704329	5043	426913	52191	56662	251565
41	821393	7659	428475	51155	60197	224753
42	986310	5362	530499	61430	34548	334303
43	959297	5464	539102	58490	39893	337767
44	1076505	7820	653093	72557	88494	401043
45	668097	3886	449422	46058	45941	316190
46	1014473	3983	546567	61436	58443	312249
47	757358	6395	465851	45813	31888	273921
48	1207712	10474	885254	140175	57712	585723
49	1050986	5406	591556	102013	39007	368750
50	1222497	9396	724304	105641	74046	416375
51	683220	2818	341768	53422	34111	185852
52	658969	3123	365714	57775	31519	214010
53	632973	2963	404330	64986	35563	247275
54	990788	5453	632838	59202	70197	386002
55	925428	5978	533319	117744	66077	259747
56	998879	7595	739588	90286	63691	479522
57	893057	4320	487087	53749	51007	298590
58	828221	5538	500507	50265	58722	313807
59	969180	7071	547890	64654	63235	306866
60	751045	4993	423963	59178	43604	246120
61	823976	4198	456850	61860	37931	284219
62	2099965	14635	1623060	117506	122703	1258100
63	1147433	9290	806405	95043	98419	451719
64	579230	2456	354138	47288	37227	200963
65	779019	3714	503125	57462	53202	326566
66	978073	7519	610590	71305	54135	387829
67	1322148	5872	702777	76393	61240	419701
68	942177	7211	606491	79972	59229	382341
69	126784	804	75643	8930	11784	42284
70	701987	5317	411151	63083	30100	245974
71	674640	5432	427217	57007	33906	265304
72	685043	5132	388662	57078	31169	240116
73	699967	5298	406861	59662	31515	243404
74	686369	5911	431932	62105	35152	265222
75	699106	5833	443234	56312	35397	281686
76	689378	5926	427369	62830	34257	259196
77	689799	6048	416565	56607	33879	246525
78	707674	4528	406634	45811	53267	226582
79	693318	4318	452213	54991	41295	296806
80	730942	3874	394239	54567	31628	237790
81	699995	4342	359035	49691	27724	198079
82	654218	3136	369379	40849	36247	231627
83	544847	2697	343926	37541	33118	218812
84	697528	4055	390193	68641	33901	227072
85	708631	4581	439877	59612	41116	283267
86	714992	4209	386697	71332	32328	215989
87	806153	8291	575541	74138	49791	388271
88	767465	5786	421784	75658	45651	219937
89	832195	4497	476861	60926	43794	297874
90	820680	4292	448668	63089	42265	265615
91	663506	6270	464897	82828	38686	281992
92	1134688	11224	779914	103587	46362	556210
93	595972	3168	386840	55872	35899	221253
94	651538	2956	470451	40377	22467	364334
95	659792	2375	450836	42613	27576	334515
96	664219	2635	437391	43926	24051	323857
97	659727	2981	439248	52556	21691	303236
98	669958	3724	419002	55830	23917	278430
99	974559	5750	552191	87064	55604	318581
100	816734	5520	467652	67687	44953	285920
101	878898	3517	388725	75084	33810	201461
102	830283	4654	444910	79684	44332	249467
103	664003	7519	425961	44411	22387	304835
104	660601	8188	427431	48754	27340	297702
105	676789	5816	359792	59193	27030	197735
106	406737	2661	218572	32194	22280	139295
107	677524	4022	409376	33797	45817	267769
108	713224	5263	452271	34133	54671	285772
109	711301	4146	401957	31428	41683	247403
110	690860	3857	422180	29243	52613	283179
111	739698	4965	432009	35194	41492	243588
112	839401	8206	452013	70638	55207	248128
113	885318	5451	539336	104442	41833	325732
114	1169010	5158	666559	90182	65242	401115
115	773222	6400	451200	49602	60403	267289
116	651508	3538	374976	51519	26454	238984
117	656651	3612	362184	48105	26609	220382
118	1019720	9415	810566	55230	78899	603230
119	1076389	6221	681640	78084	54729	455666
120	717342	5571	458551	60664	42090	275553
121	688341	6230	463370	58643	46790	265338
122	660669	5481	428050	44295	40310	275409
123	681185	5901	473542	39925	45403	312288
124	757627	5383	496279	43844	75406	314771
125	1064078	5716	657394	77016	87076	352568
126	678598	5621	363403	50980	28448	190972
127	716122	5888	397201	54675	29336	221234
128	741501	5822	384407	59177	29705	194442
129	729302	5614	422542	50090	31168	255223
130	659539	5785	354136	46270	27387	197670
131	741675	5393	382405	55741	30617	199166
132	727509	5384	414275	50102	27650	262863
133	706949	6636	425298	62084	23237	240498
134	747573	5834	383590	57632	27150	194061
135	723686	5916	366188	57356	27713	182674
136	790518	3265	395841	48317	31351	209338
137	753714	3607	388274	48991	30549	204814
138	760942	3525	388941	49512	29278	194921
139	730746	3723	371753	46489	26546	179826
140	714421	3330	367597	47075	26683	182373
141	133045	1502	84374	12103	7303	56871
142	46575	221	40027	1812	2445	33503
143	32483	317	16730	2111	2222	8315
144	81922	472	61299	3545	2873	44310
145	1050860	8569	696376	49825	92915	464999
146	39387	1392	29591	944	2306	24206
147	361344	3195	303476	12719	23679	243337
148	738873	4033	402957	26442	50180	275134
149	690626	5047	352122	41894	43567	193138
150	691522	4115	394657	35620	51165	253457
151	272172	4026	150973	12496	17740	98695
152	15995	108	12438	834	1059	9285
153	405400	2302	289304	17828	12249	228143
